popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2,False,0.369,0.0898,G,-22.042,major,0.0572,0.987,0.744,0.224,0.077,167.655,4/4,classical
2,False,0.348,0.111,F,-19.65,major,0.0455,0.982,0.861,0.0874,0.0985,136.303,3/4,classical
0,False,0.325,0.156,G,-19.344,major,0.0354,0.956,0.881,0.0881,0.107,142.451,4/4,classical
0,False,0.344,0.0258,D,-34.634,major,0.0392,0.637,0.322,0.0845,0.0355,116.868,4/4,classical
0,False,0.146,0.00241,C-sharp_D-flat,-40.843,minor,0.0434,0.995,0.945,0.113,0.0973,166.462,3/4,classical
0,False,0.707,0.261,F,-14.57,major,0.0559,0.994,0.904,0.0724,0.576,117.466,4/4,classical
0,False,0.519,0.185,C,-19.579,major,0.0452,0.972,3.55e-05,0.0705,0.704,119.371,4/4,classical
0,False,0.367,0.302,C,-16.454,major,0.0414,0.846,0.679,0.0729,0.356,105.35,4/4,classical
0,False,0.39,0.248,D,-14.52,minor,0.0411,0.986,0.92,0.104,0.15,94.64,4/4,classical
0,False,0.707,0.261,F,-14.57,major,0.0559,0.994,0.904,0.0724,0.576,117.466,4/4,classical
0,False,0.39,0.248,D,-14.52,minor,0.0411,0.986,0.92,0.104,0.15,94.64,4/4,classical
0,False,0.241,0.017,F-sharp_G-flat,-29.271,minor,0.0432,0.993,0.883,0.0548,0.0875,72.821,4/4,classical
0,False,0.615,0.194,E,-20.573,minor,0.0393,0.973,0.808,0.12,0.589,75.981,4/4,classical
0,False,0.585,0.309,E,-12.274,minor,0.0945,0.992,0.918,0.0558,0.578,134.927,4/4,classical
0,False,0.285,0.00464,D-sharp_E-flat,-38.222,minor,0.0435,0.995,0.844,0.0582,0.216,72.32,3/4,classical
0,False,0.411,0.00692,F-sharp_G-flat,-30.268,major,0.0512,0.994,0.882,0.0538,0.17,101.663,4/4,classical
0,False,0.242,0.0296,F,-28.611,major,0.0401,0.993,0.902,0.0751,0.0438,70.249,4/4,classical
0,False,0.523,0.224,A-sharp_B-flat,-19.966,major,0.0403,0.771,0.00984,0.0518,0.961,110.157,4/4,classical
0,False,0.416,0.00701,F-sharp_G-flat,-31.421,major,0.0558,0.995,0.952,0.078,0.234,72.341,4/4,classical
0,False,0.433,0.073,D,-29.13,major,0.0493,0.994,0.863,0.0829,0.424,152.601,4/4,classical
0,False,0.45,0.0485,D,-31.079,major,0.038,0.972,0.911,0.172,0.316,126.978,4/4,classical
0,False,0.397,0.213,F-sharp_G-flat,-19.174,minor,0.0303,0.597,0.0596,0.196,0.506,107.562,3/4,classical
0,False,0.277,0.0113,E,-38.384,minor,0.0285,0.769,0.00268,0.321,0.0725,102.532,4/4,classical
42,False,0.547,0.62,B,-8.601,major,0.062,0.408,0.0002,0.0996,0.2,83.997,4/4,classical
44,False,0.63,0.414,A,-9.888,minor,0.0291,0.615,0.000329,0.162,0.394,100.946,4/4,classical
45,False,0.57,0.703,G,-5.51,major,0.0486,0.313,5.92e-06,0.0556,0.598,172.025,4/4,classical
26,False,0.327,0.279,G-sharp_A-flat,-10.318,major,0.0291,0.928,0.000144,0.12,0.15,69.66,5/4,classical
0,False,0.358,0.233,F,-10.632,major,0.0305,0.884,2.8e-06,0.0838,0.167,82.938,3/4,classical
43,False,0.701,0.559,G,-12.297,minor,0.0537,0.752,0.00077,0.0935,0.542,112.99,4/4,classical
0,False,0.499,0.215,B,-17.369,minor,0.031,0.898,0.913,0.0989,0.74,132.383,4/4,classical
0,False,0.105,0.154,C-sharp_D-flat,-14.355,major,0.0334,0.946,0.895,0.0683,0.0756,71.0,4/4,classical
1,False,0.568,0.396,G-sharp_A-flat,-13.921,major,0.029,0.738,0.159,0.116,0.578,136.489,4/4,classical
0,False,0.347,0.499,A-sharp_B-flat,-7.596,major,0.0344,0.756,0.0,0.183,0.345,133.872,4/4,classical
0,False,0.168,0.306,F,-9.298,major,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4/4,classical
0,False,0.105,0.154,C-sharp_D-flat,-14.355,major,0.0334,0.946,0.895,0.0683,0.0756,71.0,4/4,classical
0,False,0.457,0.224,A,-19.476,minor,0.0344,0.715,1.2e-06,0.224,0.48,80.845,4/4,classical
0,False,0.105,0.154,C-sharp_D-flat,-14.355,major,0.0334,0.946,0.895,0.0683,0.0756,71.0,4/4,classical
0,False,0.347,0.499,A-sharp_B-flat,-7.596,major,0.0344,0.756,0.0,0.183,0.345,133.872,4/4,classical
0,False,0.168,0.306,F,-9.298,major,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4/4,classical
0,False,0.168,0.306,F,-9.298,major,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4/4,classical
