popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_popular
0,False,0.534,0.839,D,-2.951,major,0.053,0.0698,0.0,0.264,0.576,155.002,4/4,unpopular
17,False,0.368,0.323,D,-12.511,minor,0.0383,0.981,0.913,0.347,0.436,120.747,4/4,unpopular
41,False,0.439,0.773,C,-2.764,major,0.0311,0.0301,0.0,0.14,0.593,136.953,4/4,unpopular
0,False,0.425,0.305,A-sharp_B-flat,-12.593,minor,0.0542,0.989,0.000325,0.121,0.187,73.421,3/4,unpopular
0,False,0.589,0.838,A-sharp_B-flat,-5.945,minor,0.0417,0.00587,0.228,0.379,0.322,126.113,4/4,unpopular
47,False,0.599,0.732,D,-10.913,major,0.0346,0.0903,0.325,0.138,0.178,123.019,4/4,unpopular
61,False,0.448,0.945,A-sharp_B-flat,-7.978,major,0.0394,0.0219,0.246,0.0254,0.437,111.705,4/4,popular
72,False,0.764,0.626,C,-8.274,major,0.0288,0.457,6.35e-06,0.201,0.961,118.34,4/4,popular
6,False,0.323,0.118,F-sharp_G-flat,-16.407,minor,0.0359,0.972,0.000314,0.102,0.254,136.321,4/4,unpopular
66,False,0.654,0.83,A-sharp_B-flat,-4.801,major,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,4/4,popular
54,False,0.524,0.941,B,-1.498,minor,0.0555,0.0105,0.0,0.0667,0.848,154.071,4/4,popular
46,False,0.582,0.467,F,-7.674,major,0.0367,0.183,0.0,0.0931,0.486,119.842,4/4,unpopular
20,False,0.162,0.087,G,-21.927,minor,0.0491,0.95,0.00683,0.124,0.0378,84.459,3/4,unpopular
30,False,0.765,0.857,D,-4.212,major,0.0292,0.23,0.0,0.278,0.837,109.969,4/4,unpopular
44,False,0.629,0.528,F-sharp_G-flat,-7.698,major,0.0347,0.8,0.000656,0.122,0.483,149.909,4/4,unpopular
64,False,0.395,0.955,C,-3.352,minor,0.12,0.0176,0.0,0.585,0.283,168.005,4/4,popular
39,False,0.776,0.482,D-sharp_E-flat,-10.175,minor,0.238,0.145,0.0,0.0876,0.728,132.056,4/4,unpopular
9,False,0.691,0.894,A,-1.681,minor,0.115,0.291,0.0,0.104,0.623,184.018,4/4,unpopular
24,False,0.358,0.136,D,-19.801,major,0.0375,0.0019,0.852,0.253,0.0728,72.661,4/4,unpopular
63,False,0.582,0.812,G,-6.147,major,0.0418,0.166,0.00162,0.0407,0.7,86.051,4/4,popular
40,False,0.67,0.145,C,-12.772,major,0.0422,0.935,1.29e-05,0.0859,0.284,81.055,4/4,unpopular
55,False,0.163,0.047,D-sharp_E-flat,-24.975,minor,0.0344,0.938,0.955,0.14,0.0389,85.607,4/4,popular
